geo_value,time_value,value,location,issue_date
al,2019-12-31,NA,01,2020-12-19
al,2020-01-01,NA,01,2020-12-19
al,2020-01-02,NA,01,2020-12-19
al,2020-01-03,NA,01,2020-12-19
al,2020-01-04,NA,01,2020-12-19
al,2020-01-05,NA,01,2020-12-19
al,2020-01-06,NA,01,2020-12-19
al,2020-01-07,NA,01,2020-12-19
al,2020-01-08,NA,01,2020-12-19
al,2020-01-09,NA,01,2020-12-19
al,2020-01-10,NA,01,2020-12-19
al,2020-01-11,NA,01,2020-12-19
al,2020-01-12,NA,01,2020-12-19
al,2020-01-13,NA,01,2020-12-19
al,2020-01-14,NA,01,2020-12-19
al,2020-01-15,NA,01,2020-12-19
al,2020-01-16,NA,01,2020-12-19
al,2020-01-17,NA,01,2020-12-19
al,2020-01-18,NA,01,2020-12-19
al,2020-01-19,NA,01,2020-12-19
al,2020-01-20,NA,01,2020-12-19
al,2020-01-21,NA,01,2020-12-19
al,2020-01-22,NA,01,2020-12-19
al,2020-01-23,NA,01,2020-12-19
al,2020-01-24,NA,01,2020-12-19
al,2020-01-25,NA,01,2020-12-19
al,2020-01-26,NA,01,2020-12-19
al,2020-01-27,NA,01,2020-12-19
al,2020-01-28,NA,01,2020-12-19
al,2020-01-29,NA,01,2020-12-19
al,2020-01-30,NA,01,2020-12-19
al,2020-01-31,NA,01,2020-12-19
al,2020-02-01,NA,01,2020-12-19
al,2020-02-02,NA,01,2020-12-19
al,2020-02-03,NA,01,2020-12-19
al,2020-02-04,NA,01,2020-12-19
al,2020-02-05,NA,01,2020-12-19
al,2020-02-06,NA,01,2020-12-19
al,2020-02-07,NA,01,2020-12-19
al,2020-02-08,NA,01,2020-12-19
al,2020-02-09,NA,01,2020-12-19
al,2020-02-10,NA,01,2020-12-19
al,2020-02-11,NA,01,2020-12-19
al,2020-02-12,NA,01,2020-12-19
al,2020-02-13,NA,01,2020-12-19
al,2020-02-14,NA,01,2020-12-19
al,2020-02-15,NA,01,2020-12-19
al,2020-02-16,NA,01,2020-12-19
al,2020-02-17,NA,01,2020-12-19
al,2020-02-18,NA,01,2020-12-19
al,2020-02-19,NA,01,2020-12-19
al,2020-02-20,NA,01,2020-12-19
al,2020-02-21,NA,01,2020-12-19
al,2020-02-22,NA,01,2020-12-19
al,2020-02-23,NA,01,2020-12-19
al,2020-02-24,NA,01,2020-12-19
al,2020-02-25,NA,01,2020-12-19
al,2020-02-26,NA,01,2020-12-19
al,2020-02-27,NA,01,2020-12-19
al,2020-02-28,NA,01,2020-12-19
al,2020-02-29,NA,01,2020-12-19
al,2020-03-01,NA,01,2020-12-19
al,2020-03-02,NA,01,2020-12-19
al,2020-03-03,NA,01,2020-12-19
al,2020-03-04,NA,01,2020-12-19
al,2020-03-05,NA,01,2020-12-19
al,2020-03-06,NA,01,2020-12-19
al,2020-03-07,NA,01,2020-12-19
al,2020-03-08,NA,01,2020-12-19
al,2020-03-09,NA,01,2020-12-19
al,2020-03-10,NA,01,2020-12-19
al,2020-03-11,NA,01,2020-12-19
al,2020-03-12,NA,01,2020-12-19
al,2020-03-13,NA,01,2020-12-19
al,2020-03-14,NA,01,2020-12-19
al,2020-03-15,NA,01,2020-12-19
al,2020-03-16,NA,01,2020-12-19
al,2020-03-17,NA,01,2020-12-19
al,2020-03-18,NA,01,2020-12-19
al,2020-03-19,NA,01,2020-12-19
al,2020-03-20,NA,01,2020-12-19
al,2020-03-21,NA,01,2020-12-19
al,2020-03-22,NA,01,2020-12-19
al,2020-03-23,NA,01,2020-12-19
al,2020-03-24,NA,01,2020-12-19
al,2020-03-25,NA,01,2020-12-19
al,2020-03-26,NA,01,2020-12-19
al,2020-03-27,NA,01,2020-12-19
al,2020-03-28,NA,01,2020-12-19
al,2020-03-29,NA,01,2020-12-19
al,2020-03-30,NA,01,2020-12-19
al,2020-03-31,NA,01,2020-12-19
al,2020-04-01,NA,01,2020-12-19
al,2020-04-02,NA,01,2020-12-19
al,2020-04-03,NA,01,2020-12-19
al,2020-04-04,NA,01,2020-12-19
al,2020-04-05,NA,01,2020-12-19
al,2020-04-06,NA,01,2020-12-19
al,2020-04-07,NA,01,2020-12-19
al,2020-04-08,NA,01,2020-12-19
al,2020-04-09,NA,01,2020-12-19
al,2020-04-10,NA,01,2020-12-19
al,2020-04-11,NA,01,2020-12-19
al,2020-04-12,NA,01,2020-12-19
al,2020-04-13,NA,01,2020-12-19
al,2020-04-14,NA,01,2020-12-19
al,2020-04-15,NA,01,2020-12-19
al,2020-04-16,NA,01,2020-12-19
al,2020-04-17,NA,01,2020-12-19
al,2020-04-18,NA,01,2020-12-19
al,2020-04-19,NA,01,2020-12-19
al,2020-04-20,NA,01,2020-12-19
